Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 0.1 or 10 % [1]
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
378,0.1,0.16611399,0.048153417,0.19204173,0.009308595,0.01549
379,0.1,0.164411698,0.048403388,0.191741839,0.011955216,0.01549
380,0.1,0.161630505,0.048518832,0.192566719,0.013443355,0.01549
381,0.1,0.15937658,0.048487559,0.190655816,0.014882963,0.01549
382,0.1,0.158257191,0.048360468,0.186592393,0.016358757,0.01561
383,0.1,0.157473401,0.048432436,0.18193916,0.017769724,0.01557
384,0.1,0.15613251,0.048548899,0.177928991,0.019401915,0.01544
385,0.1,0.154849942,0.048458022,0.175376995,0.021068646,0.01525
386,0.1,0.154356551,0.048069342,0.173703635,0.022166197,0.01505
387,0.1,0.153543252,0.047705136,0.170190613,0.022831144,0.01484
388,0.1,0.152151989,0.047452541,0.163752717,0.023459799,0.01465
389,0.1,0.151232198,0.047228873,0.159092462,0.024712323,0.01447
390,0.1,0.150651358,0.046931845,0.155922321,0.026308648,0.01431
391,0.1,0.149873043,0.046544198,0.151157198,0.027548589,0.01417
392,0.1,0.149270768,0.046308508,0.147110522,0.02895931,0.01403
393,0.1,0.149213675,0.046255281,0.144729668,0.030338097,0.01392
394,0.1,0.149291092,0.046046031,0.143084027,0.030383758,0.01381
